S#No,question,audio_notes,photo_thumbnail,video_thumbnail,is_multiple_choice_question,multiple_choice_options,is_sub1_question,sub1_question,sub1_audio_notes,is_sub1_multiple_choice_question,sub1_multiple_choice_options,is_sub2_question,sub2_question,sub2_audio_notes,is_sub2_multiple_choice_question,sub2_multiple_choice_options,upload_photo,upload_video,upload_audio
20.0,Please take Fog Light Right Side Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q20.mp3,Yes,No,No,,Yes,Fog Light Bulb / LED Right Side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q20_SQ1.mp3,Yes,"Working , Not Working , Not  Applicable ",Yes,Fog Light Right Side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q20_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
24.0,Please take Brake Lights Right Side Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q24.mp3,Yes,No,No,,Yes,Brake Lights Bulb / LED Right Side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q24_SQ1.mp3,Yes,"Working , Not Working",Yes,Brake Lights Right Side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q24_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
21.0,Please take Rear Indicator Right side Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q21.mp3,Yes,No,No,,Yes,Rear Indicator Bulb / LED Right side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q21_SQ1.mp3,Yes,"Working , Not Working",Yes,Rear Indicator Right side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q21_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
122.0,Please take Rear Tail Light Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q122.mp3,Yes,No,No,,Yes,How is the Rear Tail light Bulb / LED Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q122_SQ1.mp3,Yes,"Working , Not Working , Not  Applicable ",Yes,How is the Rear Tail light Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q122_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
23.0,Please take Brake Lights Left Side Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q23.mp3,Yes,No,No,,Yes,Brake Lights Left Side Bulb / LED Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q23_SQ1.mp3,Yes,"Working , Not Working",Yes,Brake Lights Left Side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q23_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
22.0,Please take Rear Indicator Left side Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q22.mp3,Yes,No,No,,Yes,Rear Indicator Left side Bulb / LED Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q22_SQ1.mp3,Yes,"Working , Not Working",Yes,Rear Indicator Left side Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q22_SQ2.mp3,Yes,"Good , Crack , Damage",Yes,No,Yes
,Interior Inspection,,,,,,,,,,,,,,,,,,
25.0,Please take Driver Side seat Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q25.mp3,Yes,No,No,,Yes,Driver Side Seat Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q25_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
26.0,Please take Passenger Side seat Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q26.mp3,Yes,No,No,,Yes,Passenger Side Seat Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q26_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
27.0,Please take Rear seat Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q27.mp3,Yes,No,No,,Yes,Rear Seats Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q27_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
